fecha,nieve_original,nieve_transformada,nieve_estacionaria,savi_original,savi_transformada,savi_estacionaria,agua_original,agua_transformada,agua_estacionaria
2009-05-01,346.2586006576136,5.850069749240228,5.850069749240228,,,,,,
2009-06-01,18966.248626305525,9.850469014260591,9.850469014260591,,,,,,
2009-07-01,28781.95354719282,10.267538600165102,10.267538600165102,,,,,,
2009-08-01,8671.116599941663,9.067868169154265,9.067868169154265,,,,,,
2009-09-01,2793.865210732668,7.935539159285961,7.935539159285961,,,,,,
2009-10-01,980.5574798191626,6.889140575240842,6.889140575240842,,,,,,
2009-11-01,153.5408147821574,5.0404582347974625,5.0404582347974625,,,,,,
2009-12-01,126.9385150730191,4.8515497975220825,4.8515497975220825,,,,,,
2010-01-01,122.6742589033634,4.817651164804437,4.817651164804437,,,,,,
2010-02-01,164.73287716629633,5.110377318548908,5.110377318548908,,,,,,
2010-03-01,174.18789726932928,5.1658590966032305,5.1658590966032305,,,,,,
2010-04-01,25278.84309494089,10.137762641554067,10.137762641554067,,,,,,
2010-05-01,70293.38764507113,11.160447240260062,11.160447240260062,,,,,,
2010-06-01,13081.76419176219,9.479050932329653,9.479050932329653,,,,,,
2010-07-01,3820.280637292228,8.248340890782908,8.248340890782908,,,,,,
2010-08-01,1836.7119450179248,7.5162765686628,7.5162765686628,,,,,,
2010-09-01,1176.433546002006,7.07109238778163,7.07109238778163,,,,,,
2010-10-01,872.9188342060946,6.772987504302043,6.772987504302043,,,,,,
2010-11-01,166.502795197552,5.121000038872461,5.121000038872461,,,,,,
2010-12-01,109.12154681874468,4.701584726840706,4.701584726840706,,,,,,
2011-01-01,90.67897937443352,4.518293120426644,4.518293120426644,,,,,,
2011-02-01,986.0621820912012,6.894733038554569,6.894733038554569,,,,,,
2011-03-01,433.7594612307682,6.074792915460545,6.074792915460545,,,,,,
2011-04-01,582.2372052553105,6.368593973679027,6.368593973679027,,,,,,
2011-05-01,13212.290171922705,9.488978433266144,9.488978433266144,,,,,,
2011-06-01,34224.48039722953,10.440725686500201,10.440725686500201,,,,,,
2011-07-01,26386.627191170155,10.180650512274571,10.180650512274571,,,,,,
2011-08-01,31961.87573972276,10.372330375172824,10.372330375172824,,,,,,
2011-09-01,8835.873843845335,9.08668845551312,9.08668845551312,,,,,,
2011-10-01,3346.0438540890223,8.11583280363192,8.11583280363192,,,,,,
2011-11-01,3033.3391109325075,8.017748923910673,8.017748923910673,,,,,,
2011-12-01,2088.1959020835334,7.644534535083833,7.644534535083833,,,,,,
2012-01-01,2058.470018023956,7.630203955879397,7.630203955879397,,,,,,
2012-02-01,1973.511259757812,7.588076183297333,7.588076183297333,,,,,,
2012-03-01,1505.6205352039142,7.3176243654619295,7.3176243654619295,,,,,,
2012-04-01,3903.382158538537,8.269854831712083,8.269854831712083,,,,,,
2012-05-01,17171.99694823482,9.75109348427668,9.75109348427668,,,,,,
2012-06-01,29300.252562203223,10.285385543654671,10.285385543654671,,,,,,
2012-07-01,10754.146673771387,9.283139679337465,9.283139679337465,,,,,,
2012-08-01,5375.488331610343,8.589790713570688,8.589790713570688,,,,,,
2012-09-01,5706.578879476193,8.649550198628415,8.649550198628415,,,,,,
2012-10-01,834.7636435016467,6.728345850026841,6.728345850026841,,,,,,
2012-11-01,857.6319937350881,6.755340417773941,6.755340417773941,,,,,,
2012-12-01,464.75032947268704,6.143649716883889,6.143649716883889,,,,,,
2013-01-01,425.4736608798475,6.055550608588261,6.055550608588261,,,,,,
2013-02-01,358.4653346461039,5.884617745936249,5.884617745936249,,,,,,
2013-03-01,263.7772203584974,5.578888794525929,5.578888794525929,,,,,,
2013-04-01,231.2782501468299,5.447936007096921,5.447936007096921,,,,,,
2013-05-01,25522.631456945,10.147360025804891,10.147360025804891,,,,,,
2013-06-01,126882.25838241514,11.751022717358719,11.751022717358719,,,,,,
2013-07-01,29660.37759515798,10.297601060842528,10.297601060842528,,,,,,
2013-08-01,13238.613055015936,9.49096860361196,9.49096860361196,,,,,,
2013-09-01,33776.88346770471,10.427561532025344,10.427561532025344,,,,,,
2013-10-01,15510.527149891965,9.649338713598926,9.649338713598926,,,,,,
2013-11-01,1848.3371052413463,7.522582532368721,7.522582532368721,,,,,,
2013-12-01,313.77325072113285,5.751852540636624,5.751852540636624,,,,,,
2014-01-01,34306.67366020658,10.443124330003938,10.443124330003938,,,,,,
2014-02-01,245.6604218212233,5.50801258026864,5.50801258026864,,,,,,
2014-03-01,4528.444981528924,8.418354690337022,8.418354690337022,,,,,,
2014-04-01,524.2528073811472,6.263879684558322,6.263879684558322,,,,,,
2014-05-01,222.16293094851315,5.407902136734569,5.407902136734569,,,,,,
2014-06-01,51769.1724816692,10.854569441581901,10.854569441581901,,,,,,
2014-07-01,12149.776403152717,9.405148348221132,9.405148348221132,,,,,,
2014-08-01,6366.01802871684,8.758886511600394,8.758886511600394,,,,,,
2014-09-01,5752.822288300271,8.65761965873713,8.65761965873713,,,,,,
2014-10-01,1806.871001133762,7.499905189476224,7.499905189476224,,,,,,
2014-11-01,374.3841517628119,5.92794990632681,5.92794990632681,,,,,,
2014-12-01,167.25316116170012,5.12546975682798,5.12546975682798,,,,,,
2015-01-01,145.84924266742638,4.989406500446628,4.989406500446628,,,,,,
2015-02-01,1749.3412373571812,7.4675660406844715,7.4675660406844715,,,,,,
2015-03-01,177.68894793322465,5.185646573208705,5.185646573208705,,,,,,
2015-04-01,48214.29811450744,10.78343163794948,10.78343163794948,,,,,,
2015-05-01,15100.748987437824,9.622565843078226,9.622565843078226,,,,,,
2015-06-01,23134.997981644738,10.049145037719757,10.049145037719757,,,,,,
2015-07-01,15211.212546687408,9.62985384125447,9.62985384125447,,,,,,
2015-08-01,18570.56827300126,9.82938710274649,9.82938710274649,,,,,,
2015-09-01,5397.875450505347,8.593945960958926,8.593945960958926,,,,,,
2015-10-01,7566.360518934278,8.931599609134901,8.931599609134901,,,,,,
